Timestamp_s,Latitude_deg,Longitude_deg,Altitude_ft,Airspeed_kts,ClimbRate_fpm,Pitch_deg,Roll_deg,Heading_deg,Ctrl_Pitch_Ratio,Ctrl_Roll_Ratio,Ctrl_Yaw_Ratio,Collective_deg,Engine_Torque_Nm
20.7,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
20.752,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
20.802,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
20.85,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
20.902,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
20.952,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
21.0,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
21.052,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
21.1,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
21.152,-34.55394200277652,-58.42502994548648,9978.663643946871,5.863580703735352,-1822.4580078125,-17.31560516357422,12.33014965057373,289.39202880859375,-0.5,-0.5,-0.231513623046875,11.0,-47.99281692504883
